match_id,date,team1,team2,predicted_score,p_win1,p_draw,p_win2,odd_1,odd_draw,odd_2,bet_recommendation,bet_outcome,bet_odds,bet_probability,bet_points_value,kelly_pct,edge_pct,expected_value,risk_level
1,11-Jun-26,Mexico,South Africa,1-0,0.611,0.248,0.14,1.4444444444444444,4.5,9.0,SKIP,,,,,,2.89,,HIGH_EDGE_NEEDED
2,11-Jun-26,South Korea,Czech Republic,1-1,0.393,0.289,0.318,2.65,3.2,2.8,SKIP,,,,,,1.56,,HIGH_EDGE_NEEDED
3,12-Jun-26,Canada,Bosnia,0-1,0.439,0.269,0.293,1.8333333333333333,3.7,4.75,BET,Bosnia win,4.75,0.293,125,2.61,8.25,0.3917,VERY_HIGH
4,12-Jun-26,USA,Paraguay,0-0,0.422,0.307,0.271,2.0,3.4,4.0,SKIP,,,,,,2.1,,HIGH_EDGE_NEEDED
5,13-Jun-26,Haiti,Scotland,1-1,0.191,0.227,0.582,7.0,4.75,1.5,SKIP,,,,,,4.81,,HIGH_EDGE_NEEDED
6,13-Jun-26,Australia,Turkey,0-1,0.18,0.245,0.575,5.0,3.6,1.8,SKIP,,,,,,1.94,,HIGH_EDGE_NEEDED
7,13-Jun-26,Brazil,Morocco,1-1,0.51,0.253,0.237,1.6153846153846154,4.0,5.75,BET,Morocco win,5.75,0.237,140,1.91,6.31,0.3628,VERY_HIGH
8,13-Jun-26,Qatar,Switzerland,0-2,0.077,0.163,0.761,15.0,6.5,1.25,SKIP,,,,,,1.03,,HIGH_EDGE_NEEDED
9,14-Jun-26,Ivory Coast,Ecuador,0-1,0.244,0.313,0.443,3.7,2.9,2.4,SKIP,,,,,,2.63,,HIGH_EDGE_NEEDED
10,14-Jun-26,Germany,Curaçao,3-0,0.896,0.075,0.029,1.05,21.0,76.0,SKIP,,,,,,2.74,,HIGH_EDGE_NEEDED
11,14-Jun-26,Netherlands,Japan,1-0,0.475,0.266,0.259,2.0,3.8,3.8,SKIP,,,,,,0.28,,HIGH_EDGE_NEEDED
12,14-Jun-26,Sweden,Tunisia,1-1,0.505,0.265,0.23,1.95,3.4,4.2,SKIP,,,,,,-0.78,,HIGH_EDGE_NEEDED
13,15-Jun-26,Saudi Arabia,Uruguay,0-1,0.139,0.229,0.631,7.5,4.5,1.48,SKIP,,,,,,0.68,,HIGH_EDGE_NEEDED
14,15-Jun-26,Spain,Cape Verde,2-0,0.8,0.129,0.071,1.1111111111111112,11.5,29.0,SKIP,,,,,,4.2,,HIGH_EDGE_NEEDED
15,15-Jun-26,Iran,New Zealand,0-0,0.498,0.297,0.205,1.9090909090909092,3.6,4.4,SKIP,,,,,,1.92,,HIGH_EDGE_NEEDED
16,15-Jun-26,Belgium,Egypt,2-0,0.634,0.217,0.149,1.69,3.9,5.25,SKIP,,,,,,4.23,,HIGH_EDGE_NEEDED
17,16-Jun-26,France,Senegal,2-1,0.65,0.205,0.145,1.45,4.6,7.7,SKIP,,,,,,1.51,,HIGH_EDGE_NEEDED
18,16-Jun-26,Iraq,Norway,0-1,0.112,0.177,0.712,15.0,7.0,1.2222222222222223,SKIP,,,,,,4.53,,HIGH_EDGE_NEEDED
19,16-Jun-26,Argentina,Algeria,1-0,0.662,0.214,0.124,1.4,4.75,9.0,SKIP,,,,,,1.29,,HIGH_EDGE_NEEDED
20,16-Jun-26,Austria,Jordan,1-0,0.675,0.195,0.13,1.3333333333333333,5.5,10.5,SKIP,,,,,,3.48,,HIGH_EDGE_NEEDED
21,17-Jun-26,Ghana,Panama,1-1,0.435,0.266,0.3,2.08,3.5,3.8,SKIP,,,,,,3.68,,HIGH_EDGE_NEEDED
22,17-Jun-26,England,Croatia,2-0,0.591,0.233,0.176,1.7272727272727273,3.8,5.0,SKIP,,,,,,1.21,,HIGH_EDGE_NEEDED
23,17-Jun-26,Portugal,Congo DR,2-0,0.718,0.178,0.104,1.25,6.0,12.0,SKIP,,,,,,2.07,,HIGH_EDGE_NEEDED
24,17-Jun-26,Uzbekistan,Colombia,0-1,0.134,0.211,0.655,8.5,4.6,1.4,SKIP,,,,,,1.64,,HIGH_EDGE_NEEDED
25,18-Jun-26,Czech Republic,South Africa,1-0,0.464,0.29,0.246,2.0,3.3,4.1,SKIP,,,,,,0.21,,HIGH_EDGE_NEEDED
