match_id,team1,team2,predicted_score,score_cal,model_vs_market,bet_recommendation,bet_outcome,predicted_score_right,edge_pct
1,Mexico,South Africa,1-0,1-0,NaN,SKIP,,1-0,1.99
2,South Korea,Czech Republic,1-1,1-1,NaN,SKIP,,1-1,0.89
3,Canada,Bosnia,0-1,1-1,⚠ market favours team1 (29% gap),BET,Bosnia win,0-1,8.15
4,USA,Paraguay,0-0,1-0,⚠ market favours team1 (23% gap),SKIP,,0-0,2.1
5,Haiti,Scotland,1-1,1-1,⚠ model favours team1 (21% gap),BET,Haiti win,1-1,7.71
6,Australia,Turkey,0-2,0-1,NaN,SKIP,,0-2,2.24
7,Brazil,Morocco,1-1,1-1,⚠ market favours team1 (29% gap),BET,Morocco win,1-1,8.31
8,Qatar,Switzerland,0-2,0-2,NaN,SKIP,,0-2,0.2
9,Ivory Coast,Ecuador,1-1,0-0,NaN,SKIP,,1-1,2.27
10,Germany,Curaçao,3-0,2-0,NaN,SKIP,,3-0,2.64
11,Netherlands,Japan,1-0,1-0,NaN,SKIP,,1-0,0.28
12,Sweden,Tunisia,1-1,1-0,NaN,SKIP,,1-1,0.89
13,Saudi Arabia,Uruguay,0-1,0-1,NaN,SKIP,,0-1,-0.02
14,Spain,Cape Verde,2-0,2-0,⚠ market favours team1 (23% gap),SKIP,,2-0,4.2
15,Iran,New Zealand,1-0,1-0,NaN,SKIP,,1-0,-0.08
16,Belgium,Egypt,2-0,1-0,⚠ model favours team1 (20% gap),SKIP,,2-0,3.93
17,France,Senegal,2-1,2-0,NaN,SKIP,,2-1,1.01
18,Iraq,Norway,1-1,0-2,⚠ model favours team1 (18% gap),BET,Iraq win,1-1,5.43
19,Argentina,Algeria,1-0,1-0,NaN,SKIP,,1-0,2.29
20,Austria,Jordan,2-1,2-0,NaN,SKIP,,2-1,3.08
21,Ghana,Panama,2-1,1-1,NaN,SKIP,,2-1,0.32
22,England,Croatia,1-1,1-0,NaN,SKIP,,1-1,0.7
23,Portugal,Congo DR,2-0,2-0,NaN,SKIP,,2-0,2.17
24,Uzbekistan,Colombia,0-1,0-1,NaN,SKIP,,0-1,1.24
25,Czech Republic,South Africa,1-1,1-0,NaN,SKIP,,1-1,-0.1
26,Switzerland,Bosnia,1-1,1-0,NaN,SKIP,,1-1,2.43
27,Canada,Qatar,1-0,1-0,NaN,SKIP,,1-0,2.05
28,Mexico,South Korea,1-0,1-0,NaN,SKIP,,1-0,0.26
29,Brazil,Haiti,1-1,2-0,⚠ market favours team1 (34% gap),BET,Haiti win,1-1,6.34
