match_id,date,team1,team2,recommended_score,recommended_outcome,p_outcome,p_exact_score,points_if_correct,expected_value,platform_favourite,platform_p,naive_score,naive_ev,ev_gain_vs_naive,edge_pct,is_contrarian,risk_level,ev_team1_win,ev_draw,ev_team2_win,score_team1_win,score_draw,score_team2_win,actual_score,actual_outcome,outcome_correct,score_correct
1,11-Jun-26,Mexico,South Africa,1-0,team1_win,0.472,0.193,49,23.15,team1_win,0.82,1-0,40.18,-17.03,21.9,False,FOLLOW_FAVOURITE,23.15,39.82,30.91,1-0,0-0,0-1,2-0,team1_win,True,False
2,11-Jun-26,South Korea,Czech Republic,1-1,draw,0.244,0.115,107,26.08,draw,0.5,1-1,53.5,-27.42,15.6,False,FOLLOW_FAVOURITE,44.7,26.08,26.28,2-1,1-1,1-2,2-1,team1_win,False,False
3,12-Jun-26,Canada,Bosnia,0-1,team2_win,0.49,0.142,125,61.26,team1_win,0.59,1-0,38.35,22.91,31.0,True,VALUE_CONTRARIAN,15.42,31.83,61.26,1-0,1-1,0-1,1-1,draw,False,False
4,12-Jun-26,USA,Paraguay,1-0,team1_win,0.258,0.148,74,19.06,team1_win,0.63,1-0,46.62,-27.56,21.0,False,FOLLOW_FAVOURITE,19.06,42.07,42.56,1-0,0-0,0-1,,,,
5,13-Jun-26,Haiti,Scotland,1-0,team1_win,0.315,0.083,154,48.49,team2_win,0.88,0-1,38.72,9.77,27.5,True,VALUE_CONTRARIAN,48.49,33.66,18.79,1-0,1-1,0-1,0-1,team2_win,False,False
6,13-Jun-26,Australia,Turkey,0-2,team2_win,0.753,0.103,66,49.72,team2_win,0.69,0-2,45.54,4.18,6.3,False,SAFE_FAVOURITE,10.87,15.68,49.72,2-1,1-1,0-2,2-0,team1_win,False,False
7,13-Jun-26,Brazil,Morocco,0-1,team2_win,0.377,0.094,140,52.73,team1_win,0.5,1-0,27.5,25.23,17.7,True,VALUE_CONTRARIAN,19.93,31.73,52.73,1-0,1-1,0-1,1-1,draw,False,False
8,13-Jun-26,Qatar,Switzerland,0-2,team2_win,0.811,0.134,33,26.76,team2_win,0.87,0-2,28.71,-1.95,-5.9,False,FOLLOW_FAVOURITE,8.6,16.04,26.76,1-0,1-1,0-2,1-1,draw,False,False
9,14-Jun-26,Ivory Coast,Ecuador,1-1,draw,0.272,0.128,101,27.43,draw,0.47,1-1,47.47,-20.04,26.3,False,FOLLOW_FAVOURITE,29.67,27.43,38.51,1-0,1-1,0-1,1-0,team1_win,False,False
10,14-Jun-26,Germany,Curaçao,3-0,team1_win,0.804,0.097,15,12.07,team1_win,0.97,3-0,14.55,-2.48,5.2,False,FOLLOW_FAVOURITE,12.07,12.92,8.0,3-0,1-1,1-2,7-1,team1_win,True,False
11,14-Jun-26,Netherlands,Japan,1-0,team1_win,0.51,0.132,74,37.77,team1_win,0.61,1-0,45.14,-7.37,-10.0,False,FOLLOW_FAVOURITE,37.77,29.81,25.92,1-0,1-1,0-1,2-2,draw,False,False
12,14-Jun-26,Sweden,Tunisia,1-0,team1_win,0.567,0.107,72,40.84,team1_win,0.62,1-0,44.64,-3.8,-5.3,False,FOLLOW_FAVOURITE,40.84,24.92,24.8,1-0,1-1,0-1,5-1,team1_win,True,False
13,15-Jun-26,Saudi Arabia,Uruguay,0-2,team2_win,0.738,0.137,50,36.9,team2_win,0.81,0-2,40.5,-3.6,-7.2,False,FOLLOW_FAVOURITE,12.92,20.48,36.9,1-0,1-1,0-2,1-1,draw,False,False
14,15-Jun-26,Spain,Cape Verde,1-1,draw,0.207,0.098,166,34.28,team1_win,0.98,2-0,15.68,18.6,18.7,True,VALUE_CONTRARIAN,10.15,34.28,33.47,2-0,1-1,0-1,0-0,draw,True,False
15,15-Jun-26,Iran,New Zealand,1-1,draw,0.275,0.127,116,31.85,draw,0.44,1-1,51.04,-19.19,-16.5,False,FOLLOW_FAVOURITE,30.38,31.85,31.54,1-0,1-1,0-1,2-2,draw,True,False
16,15-Jun-26,Belgium,Egypt,2-0,team1_win,0.753,0.129,57,42.9,team1_win,0.78,2-0,44.46,-1.56,-2.7,False,FOLLOW_FAVOURITE,42.9,18.37,11.2,2-0,1-1,0-1,1-1,draw,False,False
17,16-Jun-26,France,Senegal,2-0,team1_win,0.665,0.099,46,30.59,team1_win,0.91,2-0,41.86,-11.27,-24.5,False,FOLLOW_FAVOURITE,30.59,23.26,21.91,2-0,1-1,1-2,3-1,team1_win,True,False
18,16-Jun-26,Iraq,Norway,1-0,team1_win,0.209,0.075,178,37.2,team2_win,0.93,0-1,27.9,9.3,18.9,True,VALUE_CONTRARIAN,37.2,36.32,16.12,1-0,1-1,0-1,1-4,team2_win,False,False
19,16-Jun-26,Argentina,Algeria,1-0,team1_win,0.59,0.161,43,25.38,team1_win,0.81,1-0,34.83,-9.45,11.8,False,FOLLOW_FAVOURITE,25.38,31.98,25.52,1-0,1-1,0-1,3-0,team1_win,True,False
20,16-Jun-26,Austria,Jordan,0-1,team2_win,0.208,0.061,163,33.84,team1_win,0.85,1-0,32.3,1.54,17.8,True,SPECULATIVE,21.24,31.38,33.84,1-0,1-1,0-1,3-1,team1_win,False,False
21,17-Jun-26,Ghana,Panama,1-2,team2_win,0.379,0.081,116,44.02,team1_win,0.6,2-1,43.8,0.22,30.9,True,SPECULATIVE,28.53,25.53,44.02,2-1,1-1,1-2,,,,
22,17-Jun-26,England,Croatia,2-0,team1_win,0.679,0.119,59,40.07,team1_win,0.57,2-0,33.63,6.44,10.9,False,SAFE_FAVOURITE,40.07,22.23,16.86,2-0,1-1,0-1,,,,
23,17-Jun-26,Portugal,Congo DR,2-0,team1_win,0.642,0.111,34,21.82,team1_win,0.95,2-0,32.3,-10.48,17.1,False,FOLLOW_FAVOURITE,21.82,28.19,25.73,2-0,1-1,0-1,,,,
