match_id,date,team1,team2,recommended_score,recommended_outcome,p_outcome,p_exact_score,points_if_correct,expected_value,platform_favourite,platform_p,naive_score,naive_ev,ev_gain_vs_naive,edge_pct,is_contrarian,risk_level,ev_team1_win,ev_draw,ev_team2_win,score_team1_win,score_draw,score_team2_win,actual_score,actual_outcome,outcome_correct,score_correct
1,11-Jun-26,Mexico,South Africa,2-0,team1_win,0.746,0.171,49,36.55,team1_win,0.67,1-0,36.55,0.0,7.7,False,FOLLOW_FAVOURITE,36.55,17.54,16.85,2-0,0-0,0-1,2-0,team1_win,True,True
2,11-Jun-26,South Korea,Czech Republic,1-0,team1_win,0.423,0.099,96,40.64,team1_win,0.36,1-0,40.64,0.0,6.2,False,FOLLOW_FAVOURITE,40.64,22.04,33.74,1-0,1-1,0-1,2-1,team1_win,True,False
3,12-Jun-26,Canada,Bosnia,2-0,team1_win,0.611,0.123,65,39.73,team1_win,0.52,1-0,39.73,0.0,8.9,False,FOLLOW_FAVOURITE,39.73,19.95,27.29,2-0,1-1,0-1,1-1,draw,False,False
4,12-Jun-26,USA,Paraguay,0-1,team2_win,0.437,0.091,115,50.25,team1_win,0.5,1-0,28.19,22.06,21.2,True,VALUE_CONTRARIAN,28.19,20.57,50.25,1-0,1-1,0-1,,,,
5,13-Jun-26,Haiti,Scotland,0-2,team2_win,0.675,0.142,44,29.69,team2_win,0.61,0-1,29.69,0.0,6.2,False,FOLLOW_FAVOURITE,27.17,19.49,29.69,1-0,1-1,0-2,0-1,team2_win,True,False
6,13-Jun-26,Australia,Turkey,0-1,team2_win,0.575,0.119,66,37.97,team2_win,0.56,0-1,37.97,0.0,1.8,False,FOLLOW_FAVOURITE,31.93,19.7,37.97,1-0,1-1,0-1,2-0,team1_win,False,False
7,13-Jun-26,Brazil,Morocco,1-0,team1_win,0.61,0.123,55,33.57,team1_win,0.57,1-0,33.57,0.0,4.3,False,FOLLOW_FAVOURITE,33.57,20.33,31.21,1-0,1-1,0-1,1-1,draw,False,False
8,13-Jun-26,Qatar,Switzerland,0-2,team2_win,0.827,0.186,33,27.28,team2_win,0.77,0-1,27.28,0.0,5.2,False,FOLLOW_FAVOURITE,10.8,15.59,27.28,1-0,0-0,0-2,1-1,draw,False,False
9,14-Jun-26,Ivory Coast,Ecuador,0-2,team2_win,0.601,0.129,85,51.11,team2_win,0.4,0-1,51.11,0.0,20.3,False,FOLLOW_FAVOURITE,22.23,19.48,51.11,1-0,1-1,0-2,1-0,team1_win,False,False
10,14-Jun-26,Germany,Curaçao,2-0,team1_win,0.887,0.198,15,13.31,team1_win,0.91,1-0,13.31,0.0,-2.7,False,FOLLOW_FAVOURITE,13.31,13.19,8.66,2-0,0-0,0-1,7-1,team1_win,True,False
11,14-Jun-26,Netherlands,Japan,0-1,team2_win,0.327,0.091,113,36.93,team1_win,0.46,1-0,36.12,0.81,5.7,True,VALUE_CONTRARIAN,36.12,21.28,36.93,1-0,1-1,0-1,2-2,draw,False,False
12,14-Jun-26,Sweden,Tunisia,1-0,team1_win,0.524,0.113,72,37.73,team1_win,0.5,1-0,37.73,0.0,2.5,False,FOLLOW_FAVOURITE,37.73,20.41,35.43,1-0,1-1,0-1,5-1,team1_win,True,False
13,15-Jun-26,Saudi Arabia,Uruguay,0-2,team2_win,0.736,0.167,50,36.78,team2_win,0.66,0-1,36.78,0.0,8.0,False,FOLLOW_FAVOURITE,18.08,17.58,36.78,1-0,0-0,0-2,1-1,draw,False,False
14,15-Jun-26,Spain,Cape Verde,2-0,team1_win,0.885,0.193,16,14.17,team1_win,0.86,1-0,14.17,0.0,2.2,False,FOLLOW_FAVOURITE,14.17,14.0,6.55,2-0,0-0,0-1,,,,
15,15-Jun-26,Iran,New Zealand,1-0,team1_win,0.602,0.12,63,37.94,team1_win,0.52,1-0,37.94,0.0,7.7,False,FOLLOW_FAVOURITE,37.94,20.0,29.3,1-0,1-1,0-1,2-2,draw,False,False
16,15-Jun-26,Belgium,Egypt,1-0,team1_win,0.622,0.124,57,35.46,team1_win,0.57,1-0,35.46,0.0,5.3,False,FOLLOW_FAVOURITE,35.46,20.02,28.87,1-0,1-1,0-1,1-1,draw,False,False
17,16-Jun-26,France,Senegal,2-0,team1_win,0.668,0.136,46,30.71,team1_win,0.64,1-0,30.71,0.0,2.5,False,FOLLOW_FAVOURITE,30.71,18.9,28.26,2-0,1-1,0-1,3-1,team1_win,True,False
18,16-Jun-26,Iraq,Norway,0-2,team2_win,0.78,0.174,30,23.4,team2_win,0.79,0-1,23.4,0.0,-0.7,False,FOLLOW_FAVOURITE,19.11,16.2,23.4,1-0,0-0,0-2,1-4,team2_win,True,False
19,16-Jun-26,Argentina,Algeria,2-0,team1_win,0.765,0.178,43,32.91,team1_win,0.69,1-0,32.91,0.0,7.9,False,FOLLOW_FAVOURITE,32.91,17.07,16.28,2-0,0-0,0-1,3-0,team1_win,True,False
20,16-Jun-26,Austria,Jordan,0-1,team2_win,0.208,0.071,163,33.85,team1_win,0.72,1-0,24.81,9.04,10.4,True,VALUE_CONTRARIAN,24.81,18.96,33.85,1-0,1-1,0-1,3-1,team1_win,False,False
21,17-Jun-26,Ghana,Panama,0-2,team2_win,0.536,0.112,116,62.22,team1_win,0.45,1-0,21.2,41.02,26.8,True,VALUE_CONTRARIAN,21.2,19.57,62.22,1-0,1-1,0-2,,,,
22,17-Jun-26,England,Croatia,0-1,team2_win,0.276,0.083,133,36.75,team1_win,0.55,1-0,32.41,4.34,7.7,True,VALUE_CONTRARIAN,32.41,20.75,36.75,1-0,1-1,0-1,,,,
23,17-Jun-26,Portugal,Congo DR,2-0,team1_win,0.773,0.176,34,26.27,team1_win,0.74,1-0,26.27,0.0,3.0,False,FOLLOW_FAVOURITE,26.27,17.02,17.99,2-0,0-0,0-1,,,,
24,17-Jun-26,Uzbekistan,Colombia,0-2,team2_win,0.711,0.151,44,31.31,team2_win,0.69,0-1,31.31,0.0,2.5,False,FOLLOW_FAVOURITE,23.37,18.15,31.31,1-0,1-1,0-2,,,,
25,18-Jun-26,Czech Republic,South Africa,2-0,team1_win,0.601,0.122,62,37.29,team1_win,0.48,1-0,37.29,0.0,12.2,False,FOLLOW_FAVOURITE,37.29,19.82,31.46,2-0,1-1,0-1,,,,
26,18-Jun-26,Switzerland,Bosnia,2-0,team1_win,0.699,0.155,76,53.12,team1_win,0.6,1-0,53.12,0.0,10.3,False,FOLLOW_FAVOURITE,53.12,16.05,20.42,2-0,0-0,0-1,,,,
27,18-Jun-26,Canada,Qatar,2-0,team1_win,0.776,0.18,71,55.09,team1_win,0.72,1-0,55.09,0.0,5.3,False,FOLLOW_FAVOURITE,55.09,13.17,14.42,2-0,0-0,0-1,,,,
28,18-Jun-26,Mexico,South Korea,1-0,team1_win,0.551,0.116,69,38.04,team1_win,0.52,1-0,38.04,0.0,3.3,False,FOLLOW_FAVOURITE,38.04,21.19,34.52,1-0,1-1,0-1,,,,
29,19-Jun-26,Brazil,Haiti,2-0,team1_win,0.864,0.195,21,18.15,team1_win,0.87,1-0,18.15,0.0,-1.1,False,FOLLOW_FAVOURITE,18.15,14.19,10.08,2-0,0-0,0-1,,,,
30,19-Jun-26,Scotland,Morocco,0-1,team2_win,0.491,0.11,91,44.72,team2_win,0.47,0-1,44.72,0.0,1.9,False,FOLLOW_FAVOURITE,31.17,21.7,44.72,1-0,1-1,0-1,,,,
31,19-Jun-26,Turkey,Paraguay,1-0,team1_win,0.483,0.106,84,40.59,team1_win,0.42,1-0,40.59,0.0,5.9,False,FOLLOW_FAVOURITE,40.59,22.17,40.39,1-0,1-1,0-1,,,,
32,19-Jun-26,USA,Australia,0-1,team2_win,0.394,0.087,153,60.23,team1_win,0.54,1-0,24.98,35.26,17.9,True,VALUE_CONTRARIAN,24.98,20.91,60.23,1-0,1-1,0-1,,,,
33,20-Jun-26,Germany,Ivory Coast,0-1,team2_win,0.173,0.081,164,28.39,team1_win,0.61,1-0,25.83,2.56,0.4,True,VALUE_CONTRARIAN,25.83,20.16,28.39,2-0,1-1,0-1,,,,
34,20-Jun-26,Ecuador,Curaçao,2-0,team1_win,0.837,0.186,41,34.32,team1_win,0.78,1-0,34.32,0.0,5.3,False,FOLLOW_FAVOURITE,34.32,15.49,9.18,2-0,0-0,0-1,,,,
35,20-Jun-26,Netherlands,Sweden,2-0,team1_win,0.662,0.14,67,44.38,team1_win,0.57,1-0,44.38,0.0,9.0,False,FOLLOW_FAVOURITE,44.38,19.03,23.79,2-0,1-1,0-1,,,,
36,20-Jun-26,Tunisia,Japan,0-2,team2_win,0.671,0.145,91,61.02,team2_win,0.56,0-1,61.02,0.0,11.3,False,FOLLOW_FAVOURITE,19.64,16.79,61.02,1-0,1-1,0-2,,,,
